ortho	freq
atrourts	0
attach	112
attached	607
attack	3636
attacked	1202
attacks	577
attag	0
attail	0
attain	47
attained	40
attains	2
attar	1
attempt	956
attempts	214
attend	691
attends	24
attest	22
attests	1
attic	379
attics	7
attines	0
attiph	0
attired	11
attle	0
attles	0
attoined	0
attorbs	0
attorm	0
attormed	0
attorsed	0
attosh	0
attract	288
attracts	59
atunge	0
atunged	0
aturn	0
aturred	0
aturts	0
atus	1
atuse	0
atyp	0
atyps	0
aubels	0
auburn	8
auced	0
auction	428
auctioned	26
auctions	18
audballs	0
audeer	0
audience	1241
audit	57
audits	6
aufer	0
auger	11
augers	0
aughers	0
aughing	0
aughings	0
aught	15
aughtbound	0
aughties	0
aughtling	0
aughtlings	0
aughts	0
aughtworm	0
aughty	0
augment	12
augments	1
augur	1
augured	1
augurs	0
august	17
auk	2
auks	0
aulas	0
aules	0
aulie	0
auling	0
aulm	0
auls	0
auly	0
aunchen	0
aunching	0
aunnies	0
aunots	0
aunstials	0
aunt	912
aunter	0
auntie	82
aunties	7
aunts	71
auphar	0
auphars	0
aura	76
aural	3
auras	10
ause	0
aussie	0
aussies	0
austere	10
austria	0
austrian	0
austrians	0
autcheen	0
autchies	0
autchly	0
author	352
authors	65
autle	0
autles	0
autnent	0
autnents	0
auto	289
autos	3
autoun	0
autumn	140
autumns	2
auves	0
auxwash	0
avail	41
availed	3
avails	3
aved	0
avenge	130
avenged	43
avens	0
aver	4
averred	0
avers	0
averse	15
avert	23
averts	0
avid	20
avief	0
avill	0
avioned	0
avite	0
avives	0
avoid	1177
avoids	23
avote	0
avow	2
avowed	2
avows	0
await	172
awaits	197
awake	1315
awakes	16
awant	0
awants	0
award	489
awards	175
aware	1807
awash	13
away	36915
awdes	0
awds	0
awe	93
awed	6
aweigh	12
awes	0
awesome	1255
awestruck	3
awful	3046
awhe	0
awheap	0
awhile	478
awipe	0
awise	0
awish	2
awked	0
awks	0
awkward	710
awl	2
awled	0
awls	0
awning	24
awnings	3
awo	0
awoke	67
awood	0
awooth	0
aword	2
awow	0
awped	0
awry	26
awse	0
awur	0
awuy	0
axe	229
axed	14
axes	33
axing	3
axiom	7
axioms	1
axis	33
axle	49
axles	3
ay	52
ayah	0
ayards	0
aybence	0
aybent	0
aybents	0
aybo	0
aydran	0
aye	663
ayed	0
ayes	9
ayshay	0
ayst	0
aze	0
azure	10
azz	0
ba	123
baa	12
baaed	0
baas	10
baban	0
babbed	0
babbing	0
babble	43
babbled	10
babbling	150
babe	1328
babeats	0
babel	0
babes	159
babied	5
babies	1582
baboon	80
baboons	31
babu	0
baby	22729
bacan	0
baccy	1
bace	0
baced	0
bached	0
baching	0
bacing	0
back	98533
backache	13
backaches	7
backbench	0
backbone	82
backbones	6
backbosks	0
backchat	1
backcliffs	0
backclink	0
backclip	0
backclips	0
backcloth	0
backcloths	0
backcombed	0
backdate	0
backdeeds	0
backdoor	24
backdrop	24
backdrops	2
backed	374
backer	48
backers	32
backgright	0
background	865
backgrounds	49
backhand	34
backies	0
backing	305
backings	0
backlabs	0
backlash	7
backlax	0
backless	15
backlode	0
