ortho	freq
ardours	0.04
ardstice	0.0
arduous	2.48
are	4709.49
area	351.44
areas	233.63
arecand	0.0
arecands	0.0
arecul	0.0
arehorse	0.0
arends	0.0
ares	0.29
arete	0.05
arfed	0.0
arge	0.0
argent	0.29
argly	0.0
argon	0.44
argops	0.0
argot	0.21
argue	42.74
argued	64.81
argues	23.25
argus	0.84
aria	1.59
arias	1.72
arick	0.0
arid	3.41
aries	1.28
aright	0.4
arine	0.0
arir	0.0
arise	32.94
ark	3.25
arks	0.16
arldess	0.0
arlect	0.0
arls	0.0
arm	91.94
armband	0.23
armbands	0.28
armbile	0.0
armchair	7.42
armchairs	2.23
armed	47.98
armful	0.68
armfuls	0.26
armhole	0.26
armholes	0.11
armhols	0.0
armiage	0.0
armies	10.15
arming	0.54
armioned	0.0
armless	0.13
armlets	0.05
armoire	0.07
armour	8.96
armoured	5.61
armpit	0.84
armpits	1.29
arms	111.43
armth	0.0
army	114.41
arnouns	0.0
arnows	0.0
arorse	0.0
arort	0.0
arose	15.88
arosed	0.0
around	452.86
arouse	3.22
aroused	9.09
aroves	0.0
arows	0.0
arpan	0.0
arpode	0.0
arpodes	0.0
arpone	0.0
arque	0.0
arrack	0.07
arraigned	0.32
arrange	22.72
arranged	40.64
arrant	0.15
arraps	0.0
arras	0.44
array	11.42
arrayed	0.46
arrays	1.24
arrears	6.4
arreged	0.0
arrells	0.0
arrest	22.12
arrests	5.8
arrive	29.12
arrived	88.33
arrives	8.89
arrops	0.0
arrord	0.0
arrorned	0.0
arrose	0.0
arrotte	0.0
arrouched	0.0
arroved	0.0
arrow	10.4
arrows	5.96
arrs	0.0
arrudes	0.0
arrume	0.0
arrure	0.0
arse	5.55
arsebile	0.0
arsehole	0.82
arseholes	0.19
arsenic	1.48
arser	0.0
arses	0.29
arsher	0.0
arshers	0.0
arshes	0.0
arson	3.23
arsows	0.0
arste	0.0
arstered	0.0
arsters	0.0
arsye	0.0
art	155.87
artache	0.0
artalves	0.0
artbrace	0.0
artbreed	0.0
artbrow	0.0
artcase	0.0
artered	0.0
arters	0.0
artful	0.71
artist	40.6
artiste	0.35
artistes	0.71
artists	40.49
artlack	0.0
artlacks	0.0
artle	0.0
artled	0.0
artler	0.0
artlers	0.0
artles	0.0
artless	0.31
artling	0.0
artlists	0.0
artmall	0.0
artnent	0.0
artnents	0.0
artnun	0.0
artnuns	0.0
artrer	0.0
artrimes	0.0
arts	53.54
artsock	0.0
artstrap	0.0
artstrew	0.0
arttides	0.0
arttip	0.0
arttort	0.0
arttorts	0.0
arty	1.53
arude	0.0
arum	0.32
arvan	0.0
arvas	0.0
arves	0.0
aryan	0.51
aryans	0.14
as	5177.88
asade	0.0
asades	0.0
asaids	0.0
asan	0.0
asass	0.0
asaws	0.0
ascact	0.0
ascad	0.0
ascaft	0.0
ascans	0.0
ascend	1.3
ascends	0.45
ascent	5.05
ascents	0.86
ascer	0.01
aschess	0.0
ascole	0.0
ascribe	1.13
ascribed	3.79
ascribes	0.38
ascrise	0.0
ascude	0.0
ascudes	0.0
ascures	0.0
asdice	0.0
asdise	0.0
asdised	0.0
ased	0.0
asedess	0.0
asee	0.0
aseem	0.0
aseft	0.0
asers	0.0
asgent	0.0
asgert	0.0
ash	12.63
ashait	0.0
ashamed	11.0
ashdess	0.0
ashen	0.8
ashes	5.38
ashits	0.0
ashore	6.47
ashoved	0.0
ashpen	0.0
ashstall	0.0
ashtan	0.0
ashtray	2.32
ashtrays	0.92
ashy	0.16
asia	30.49
asian	19.41
asians	3.03
asias	0.0
aside	36.13
asides	0.54
asit	0.0
asjered	0.0
ask	194.01
askance	0.55
asked	334.2
askew	0.85
asking	64.68
asks	19.83
aslacts	0.0
aslant	0.1
aslaw	0.0
asleep	24.66
aslyred	0.0
asmots	0.0
asmured	0.0
asmust	0.0
asocks	0.0
asoft	0.0
asoi	0.0
asoln	0.0
asols	0.0
asop	0.0
asorts	0.0
asosks	0.0
asoused	0.0
asown	0.0
asoys	0.0
asp	0.66
aspades	0.0
aspect	43.52
aspects	72.91
aspen	0.65
aspens	0.02
aspes	0.0
asphalt	0.98
aspic	0.29
aspire	2.24
aspired	1.54
aspires	0.52
aspirin	3.23
aspirins	0.42
aspote	0.0
asps	0.03
asque	0.0
asques	0.0
asrit	0.0
ass	3.2
assaced	0.0
