ortho	freqf
accota	0.0
accotaient	0.0
accotait	0.0
accotant	0.0
accote	0.0
accotement	0.01
accotements	0.0
accotent	0.0
accoter	0.0
accotoirs	0.0
accotons	0.0
accotèrent	0.0
accoté	0.0
accotée	0.0
accotées	0.0
accotés	0.0
accotés	0.0
accoucha	0.14
accouchaient	0.03
accouchais	0.05
accouchait	0.17
accouchant	0.12
accouchant	0.58
accouche	4.54
accouchement	5.47
accouchements	0.48
accouchent	0.08
accoucher	6.56
accouchera	0.04
accoucherait	0.16
accoucheras	0.14
accouches	0.46
accoucheur	0.06
accoucheurs	0.0
accoucheuse	0.13
accouchez	0.29
accouché	3.08
accouchée	0.16
accouchée	0.02
accouchées	0.37
accouchés	0.01
accouda	0.0
accoudai	0.0
accoudaient	0.0
accoudais	0.0
accoudait	0.0
accoudant	0.0
accoude	0.02
accouder	0.01
accoudions	0.0
accoudoir	0.4
accoudoirs	0.06
accoudons	0.0
accoudèrent	0.0
accoudé	0.25
accoudé	0.0
accoudée	0.03
accoudée	0.0
accoudées	0.0
accoudés	0.03
accoudés	0.0
accoupla	0.01
accouplaient	0.01
accouplais	0.0
accouplait	0.01
accouplant	0.06
accouple	0.34
accouplement	0.72
accouplements	0.05
accouplent	0.49
accoupler	0.83
accouplera	0.05
accouplerait	0.0
accoupleront	0.03
accouplèrent	0.0
accouplé	0.06
accouplée	0.01
accouplées	0.11
accouplés	0.12
accouraient	0.04
accourais	0.01
accourait	0.16
accourant	0.02
accourcissant	0.0
accoure	0.15
accourent	0.32
accoures	0.01
accourez	0.37
accouriez	0.01
accourir	0.57
accourons	0.29
accourra	0.05
accourrai	0.03
accourraient	0.0
accourrais	0.02
accourrait	0.04
accourront	0.04
accours	0.7
accourt	0.91
accouru	0.6
accourue	0.01
accourues	0.14
accoururent	0.21
accourus	0.34
accourussent	0.0
accourut	0.14
accourût	0.0
accoutre	0.0
accoutrement	1.19
accoutrements	0.11
accoutré	0.04
accoutré	0.02
accoutrée	0.0
accoutrée	0.0
accoutrés	0.02
accoutrés	0.0
accoutuma	0.0
accoutumai	0.0
accoutumaient	0.0
accoutumais	0.0
accoutumait	0.0
accoutumance	0.2
accoutumances	0.1
accoutumant	0.0
accoutume	0.03
accoutument	0.0
accoutumer	0.33
accoutumerait	0.0
accoutumé	0.39
accoutumé	0.02
accoutumée	0.11
accoutumée	0.08
accoutumées	0.0
accoutumées	0.14
accoutumés	0.02
accoutumés	0.01
accouvée	0.0
accras	0.1
accro	6.22
accro	1.66
accroc	1.67
accrocha	0.02
accrochage	1.44
accrochages	0.62
accrochai	0.0
accrochaient	0.06
accrochais	0.47
accrochait	0.56
accrochant	0.0
accrochant	0.43
accroche	0.45
accroche	16.39
accroche-coeur	0.0
accroche-coeurs	0.0
accrochent	1.37
accrocher	10.46
accrochera	0.15
accrocherai	0.38
accrocheraient	0.0
accrocherais	0.04
accrocherait	0.04
accrocherez	0.17
accrocheriez	0.0
accrocheront	0.02
accroches	0.2
accroches	2.09
accrocheur	0.55
accrocheurs	0.03
accrocheuse	0.02
accrocheuses	0.0
accrochez	8.03
accrochiez	0.17
accrochions	0.02
accrochons	0.12
accrochât	0.0
accrochèrent	0.02
accroché	6.13
accroché	0.9
accrochée	2.06
accrochée	0.17
accrochées	0.8
accrochées	0.06
accrochés	1.56
accrochés	0.2
accrocs	0.23
accroire	0.02
accrois	0.01
accroissaient	0.01
accroissait	0.0
accroissant	0.04
accroisse	0.0
accroissement	0.41
accroissent	0.04
accroissez	0.04
accros	0.59
accros	0.9
accroupi	0.16
accroupi	0.72
accroupie	0.25
accroupie	0.47
accroupies	0.0
accroupies	0.0
accroupir	0.09
accroupirent	0.0
accroupis	0.17
accroupis	0.23
accroupissaient	0.0
accroupissais	0.01
accroupissait	0.15
accroupissant	0.0
accroupisse	0.01
accroupissement	0.0
accroupissent	0.02
accroupissons	0.0
accroupit	0.29
accroît	1.12
accroîtra	0.12
accroîtrait	0.01
accroître	1.46
accroîtront	0.01
accru	0.39
accru	0.24
accrue	0.1
accrue	0.29
accrue	0.0
accrues	0.1
accrues	0.02
accrurent	0.01
accrus	0.04
accrus	0.01
accrut	0.02
accrédita	0.0
accréditaient	0.01
accréditait	0.0
accréditant	0.0
accréditation	0.19
accréditations	0.07
accréditer	0.03
accréditif	0.0
accrédité	0.03
accrédité	0.07
accréditée	0.04
accréditée	0.02
accrédités	0.23
accrédités	0.04
accrédités	0.0
accrétion	0.03
accrût	0.0
accu	0.0
accueil	13.83
accueillaient	0.0
accueillais	0.26
accueillait	0.42
accueillant	1.21
accueillant	0.25
accueillante	0.47
accueillantes	0.14
accueillants	0.25
accueille	4.58
accueillent	0.9
accueillera	1.07
accueillerai	0.25
accueilleraient	0.17
accueillerait	0.16
accueilleras	0.01
accueillerez	0.24
accueilleriez	0.02
accueillerons	0.13
accueilleront	0.1
accueilles	0.22
accueillez	0.97
accueilli	3.79
accueillie	0.65
accueillies	0.05
accueillir	14.39
accueillirent	0.03
accueillis	0.98
accueillit	0.5
accueillons	1.88
accueillît	0.0
accueils	0.0
accula	0.0
acculaient	0.0
acculais	0.0
acculait	0.0
acculant	0.0
accule	0.29
acculent	0.01
acculer	0.13
acculera	0.01
acculeraient	0.0
acculez	0.04
acculturation	0.01
acculât	0.0
acculèrent	0.0
acculé	0.43
acculé	0.01
acculée	0.04
acculées	0.01
acculés	0.06
acculés	0.0
accumula	0.0
accumulai	0.0
accumulaient	0.04
accumulais	0.02
accumulait	0.04
accumulant	0.24
accumulateur	0.03
accumulateurs	0.0
accumulation	0.67
accumulations	0.0
accumule	1.01
accumulent	0.77
accumuler	0.85
accumulerez	0.01
accumulez	0.23
accumulèrent	0.0
accumulé	0.55
accumulée	0.09
accumulées	0.3
accumulés	0.3
accus	0.11
accusa	0.18
accusai	0.03
accusaient	0.09
accusais	0.29
accusait	1.57
accusant	0.68
accusateur	0.2
